station,url,name,lat,long
Airport ‡,https://en.wikipedia.org/wiki/Airport_station_(MBTA),Airport_station_(MBTA),42.374374,-71.030243
Alewife †,https://en.wikipedia.org/wiki/Alewife_station,Alewife_station,42.3964,-71.142
Andrew,https://en.wikipedia.org/wiki/Andrew_station,Andrew_station,42.33019,-71.05712
Aquarium,https://en.wikipedia.org/wiki/Aquarium_station_(MBTA),Aquarium_station_(MBTA),42.3593,-71.0531
Ashmont †‡,https://en.wikipedia.org/wiki/Ashmont_station,Ashmont_station,42.2843,-71.0638
Assembly,https://en.wikipedia.org/wiki/Assembly_station,Assembly_station,42.39235556,-71.07733333
Back Bay ‡,https://en.wikipedia.org/wiki/Back_Bay_station,Back_Bay_station,42.3473,-71.0755
Beachmont,https://en.wikipedia.org/wiki/Beachmont_station,Beachmont_station,42.3975,-70.9922
Beaconsfield,https://en.wikipedia.org/wiki/Beaconsfield_station_(MBTA),Beaconsfield_station_(MBTA),42.33583333,-71.14055556
Bowdoin †,https://en.wikipedia.org/wiki/Bowdoin_station,Bowdoin_station,42.3614,-71.0622
